Species;Indv;ID;Treat;Flower;Fruit;FruitSet;SeedGood;SeedTotal;SeedSet
lingua;1;L1;Agamo;1;0;0;;;
lingua;2;L2;Agamo;1;0;0;;;
lingua;3;L3;Agamo;1;0;0;;;
lingua;4;L4;Agamo;1;0;0;;;
lingua;8;L8;Agamo;1;0;0;;;
lingua;11;L11;Agamo;1;0;0;;;
lingua;13;L13;Agamo;1;0;0;;;
lingua;17;L17;Agamo;1;0;0;;;
lingua;21;L21;Agamo;1;0;0;;;
lingua;22;L22;Agamo;1;0;0;;;
lingua;23;L23;Agamo;1;0;0;;;
lingua;25;L25;Agamo;1;0;0;;;
lingua;26;L26;Agamo;1;0;0;;;
lingua;27;L27;Agamo;1;0;0;;;
lingua;28;L28;Agamo;1;0;0;;;
lingua;31;L31;Agamo;1;0;0;;;
lingua;34;L34;Agamo;1;0;0;;;
lingua;35;L35;Agamo;1;0;0;;;
lingua;39;L39;Agamo;1;0;0;;;
lingua;40;L40;Agamo;1;0;0;;;
lingua;42;L42;Agamo;1;0;0;;;
lingua;43;L43;Agamo;1;0;0;;;
lingua;44;L44;Agamo;1;0;0;;;
lingua;46;L46;Agamo;1;0;0;;;
lingua;47;L47;Agamo;1;0;0;;;
lingua;48;L48;Agamo;1;0;0;;;
lingua;3;L3;Cross;1;1;1;609;1043;0.583892617
lingua;5;L5;Cross;1;0;0;;;
lingua;6;L6;Cross;1;1;1;880;1102;0.798548094
lingua;7;L7;Cross;1;0;0;;;
lingua;8;L8;Cross;1;0;0;;;
lingua;10;L10;Cross;1;0;0;;;
lingua;12;L12;Cross;1;0;0;;;
lingua;15;L15;Cross;1;1;1;43;1000;0.043
lingua;16;L16;Cross;1;0;0;;;
lingua;18;L18;Cross;1;0;0;;;
lingua;19;L19;Cross;1;1;1;677;1084;0.624538745
lingua;20;L20;Cross;1;0;0;;;
lingua;23;L23;Cross;1;1;1;607;1021;0.594515181
lingua;24;L24;Cross;1;0;0;;;
lingua;27;L27;Cross;1;1;1;852;1023;0.832844575
lingua;28;L28;Cross;1;1;1;288;618;0.466019417
lingua;29;L29;Cross;1;1;1;541;1057;0.511825922
lingua;30;L30;Cross;1;0;0;;;
lingua;32;L32;Cross;1;1;1;768;1024;0.75
lingua;33;L33;Cross;1;0;0;;;
lingua;34;L34;Cross;1;1;1;691;1031;0.670223084
lingua;35;L35;Cross;1;1;1;420;1025;0.409756098
lingua;36;L36;Cross;1;0;0;;;
lingua;38;L38;Cross;1;1;1;527;1046;0.503824092
lingua;39;L39;Cross;1;0;0;;;
lingua;41;L41;Cross;1;0;0;;;
lingua;44;L44;Cross;1;0;0;;;
lingua;46;L46;Cross;1;1;1;530;1080;0.490740741
lingua;48;L48;Cross;1;1;1;677;1002;0.675648703
lingua;49;L49;Cross;1;1;1;;;
lingua;50;L50;Cross;1;1;1;203;255;0.796078431
lingua;51;L51;Cross;1;0;0;;;
lingua;1;L1;Self;1;1;1;125;159;0.786163522
lingua;2;L2;Self;1;1;1;0;1000;0
lingua;4;L4;Self;1;0;0;;;
lingua;5;L5;Self;1;0;0;;;
lingua;6;L6;Self;1;1;1;744;1063;0.699905927
lingua;9;L9;Self;1;0;0;;;
lingua;11;L11;Self;1;1;1;224;1037;0.216007715
lingua;13;L13;Self;1;0;0;;;
lingua;14;L14;Self;1;0;0;;;
lingua;15;L15;Self;1;0;0;;;
lingua;16;L16;Self;1;0;0;;;
lingua;18;L18;Self;1;0;0;;;
lingua;19;L19;Self;1;1;1;506;1026;0.493177388
lingua;21;L21;Self;1;1;1;533;1048;0.508587786
lingua;22;L22;Self;1;0;0;;;
lingua;24;L24;Self;1;0;0;;;
lingua;25;L25;Self;1;1;1;880;1118;0.787119857
lingua;26;L26;Self;1;0;0;;;
lingua;28;L28;Self;1;0;0;;;
lingua;29;L29;Self;1;0;0;;;
lingua;30;L30;Self;1;0;0;;;
lingua;33;L33;Self;1;0;0;;;
lingua;36;L36;Self;1;1;1;;;
lingua;37;L37;Self;2;1;0.5;711;1100;0.646363636
lingua;45;L45;Self;2;1;0.5;94;344;0.273255814
lingua;47;L47;Self;1;0;0;;;
lingua;49;L49;Self;1;0;0;;;
lingua;50;L50;Self;1;1;1;;;
lingua;51;L51;Self;1;0;0;;;
lingua;3;L3;Spont;1;0;0;;;
lingua;4;L4;Spont;1;0;0;;;
lingua;5;L5;Spont;1;0;0;;;
lingua;6;L6;Spont;1;0;0;;;
lingua;7;L7;Spont;1;0;0;;;
lingua;8;L8;Spont;1;0;0;;;
lingua;9;L9;Spont;1;0;0;;;
lingua;10;L10;Spont;1;0;0;;;
lingua;12;L12;Spont;1;0;0;;;
lingua;13;L13;Spont;1;0;0;;;
lingua;14;L14;Spont;2;0;0;;;
lingua;17;L17;Spont;1;0;0;;;
lingua;18;L18;Spont;1;0;0;;;
lingua;19;L19;Spont;1;0;0;;;
lingua;20;L20;Spont;1;0;0;;;
lingua;21;L21;Spont;1;0;0;;;
lingua;22;L22;Spont;2;0;0;;;
lingua;23;L23;Spont;1;0;0;;;
lingua;27;L27;Spont;1;0;0;;;
lingua;29;L29;Spont;1;0;0;;;
lingua;30;L30;Spont;1;0;0;;;
lingua;31;L31;Spont;1;0;0;;;
lingua;32;L32;Spont;1;0;0;;;
lingua;33;L33;Spont;1;0;0;;;
lingua;37;L37;Spont;2;0;0;;;
lingua;38;L38;Spont;1;0;0;;;
lingua;39;L39;Spont;1;0;0;;;
lingua;40;L40;Spont;1;0;0;;;
lingua;41;L41;Spont;1;0;0;;;
lingua;42;L42;Spont;1;0;0;;;
