Site;Competition;Species;Indv;Sample;Height;N_flowers;DiamCavity;LongLab;WidthLab;DepthLab;N_Fruits;N_Pollinia;FruitSet;PolliniaSet;PolliniaRemoval
Algaida;No;lingua;1;Algaida_lingua1;19.2;2;5.6;15.7;8.1;12.5;0;4;0;1;0
Algaida;No;lingua;2;Algaida_lingua2;14.8;2;6.1;15.6;8.8;15.1;0;4;0;1;0
Algaida;No;lingua;3;Algaida_lingua3;26.2;3;4.3;11.7;7.3;13.04;0;6;0;1;0
Algaida;No;lingua;4;Algaida_lingua4;21.6;3;5.2;12.8;7.3;12.3;0;6;0;1;0
Algaida;No;lingua;5;Algaida_lingua5;11;3;4.6;17.7;6.6;14.8;0;6;0;1;0
Algaida;No;lingua;6;Algaida_lingua6;16.6;3;5.2;17.4;7.7;14.3;0;6;0;1;0
Algaida;No;lingua;7;Algaida_lingua7;18.9;3;6;16.4;8.1;12.3;;;;;
Algaida;No;lingua;8;Algaida_lingua8;26.8;4;4.5;17.7;8.2;15.5;;;;;
Algaida;No;lingua;9;Algaida_lingua9;16.4;2;5;14.9;8.5;11.4;;;;;
Algaida;No;lingua;10;Algaida_lingua10;11.6;2;5.6;14.7;7.7;12.3;0;4;0;1;0
Algaida;No;lingua;11;Algaida_lingua11;12.1;2;5.6;14.7;8.3;10.1;0;4;0;1;0
Algaida;No;lingua;12;Algaida_lingua12;12.2;2;4.8;13.8;6.5;12.6;;;;;
Algaida;No;lingua;13;Algaida_lingua13;17.2;3;5.2;20;6.5;13.7;;;;;
Algaida;No;lingua;14;Algaida_lingua14;13.3;2;4.6;15;6.8;12.3;;;;;
Algaida;No;lingua;15;Algaida_lingua15;14.2;2;5.7;12.7;7.5;12.1;;;;;
Algaida;No;lingua;16;Algaida_lingua16;13.9;2;4.6;14.9;7.4;13.2;;;;;
Algaida;No;lingua;17;Algaida_lingua17;10.5;2;5.2;14.2;7.7;10.6;0;4;0;1;0
Algaida;No;lingua;18;Algaida_lingua18;10.5;2;4.1;11.9;7;11.8;;;;;
Algaida;No;lingua;19;Algaida_lingua19;12.9;2;5;16.6;8.9;14.6;;;;;
Algaida;No;lingua;20;Algaida_lingua20;17;2;5.1;14.3;7.1;11.6;;;;;
Algaida;No;lingua;21;Algaida_lingua21;20.1;2;5.2;16;6.4;14.5;;;;;
Algaida;No;lingua;22;Algaida_lingua22;22;4;4.5;18.9;9.3;11.1;0;8;0;1;0
Algaida;No;lingua;23;Algaida_lingua23;10.5;2;4.4;15.6;6;12;1;4;0.5;1;0
Algaida;No;lingua;24;Algaida_lingua24;14;2;4.3;15.2;7.6;12.3;0;4;0;1;0
Algaida;No;lingua;25;Algaida_lingua25;15.9;2;4.8;14.3;7.5;12.3;;;;;
Algaida;No;lingua;26;Algaida_lingua26;15.6;3;5;15.1;9.2;12.7;0;6;0;1;0
Algaida;No;lingua;27;Algaida_lingua27;20.2;3;5;16.8;8.3;11.5;;;;;
Algaida;No;lingua;28;Algaida_lingua28;22;3;5.1;14.7;7.4;13.4;;;;;
Algaida;No;lingua;29;Algaida_lingua29;28.4;3;5.4;13.9;6.8;13.7;;;;;
Algaida;No;lingua;30;Algaida_lingua30;32;5;5.3;10.2;4.8;13.1;0;10;0;1;0
Algaida;No;lingua;31;Algaida_lingua31;13.4;3;4.16;12.85;4.16;14.17;0;6;0;1;0
Algaida;No;lingua;32;Algaida_lingua32;12.4;2;6.32;13.1;6.18;14.67;0;4;0;1;0
Algaida;No;lingua;33;Algaida_lingua33;13.9;2;7.1;12.81;6.4;12.2;0;4;0;1;0
Algaida;No;lingua;34;Algaida_lingua34;15.7;2;4.41;9.49;5.85;10.03;0;4;0;1;0
Algaida;No;lingua;35;Algaida_lingua35;12.9;3;4.17;10.08;4.52;10.53;0;2;0;0.333333333;0.666666667
Algaida;No;lingua;36;Algaida_lingua36;10;3;3.72;11.63;4.71;10.28;0;6;0;1;0
Algaida;No;lingua;37;Algaida_lingua37;9.8;2;3.26;12.3;4.89;10.22;0;4;0;1;0
Algaida;No;lingua;38;Algaida_lingua38;9.2;2;2.69;8.69;3.23;7.87;0;4;0;1;0
Algaida;No;lingua;39;Algaida_lingua39;12;2;4.76;14.55;7.88;13.04;0;4;0;1;0
Algaida;No;lingua;40;Algaida_lingua40;8.9;2;5.35;11.68;5.83;10.9;0;4;0;1;0
Algaida;No;lingua;41;Algaida_lingua41;11.6;2;3.86;11.66;7.94;11.12;0;4;0;1;0
Algaida;No;lingua;42;Algaida_lingua42;11.4;2;4.56;12.59;7.57;10.81;0;2;0;0.5;0.5
Algaida;No;lingua;43;Algaida_lingua43;9.3;2;3.91;13.28;7.76;12.56;0;4;0;1;0
Algaida;No;lingua;44;Algaida_lingua44;9.2;2;2.83;12.8;4.5;10.3;0;4;0;1;0
Algaida;No;lingua;45;Algaida_lingua45;11.3;2;4.52;19.52;7.05;12.21;0;4;0;1;0
Algaida;No;lingua;46;Algaida_lingua46;19.9;3;4.15;11.79;7.51;12.78;;;;;
Algaida;No;lingua;47;Algaida_lingua47;13.4;3;3.53;10.79;3.69;11.83;;;;;
Algaida;No;lingua;48;Algaida_lingua48;15;3;4.41;9.94;5.45;9.56;;;;;
Algaida;No;lingua;49;Algaida_lingua49;11.6;2;4.61;13.28;6.61;12.69;;;;;
Algaida;No;lingua;50;Algaida_lingua50;12;2;4.17;12.8;7;11.51;;;;;
Algaida;No;lingua;51;Algaida_lingua51;13.4;3;4.19;15.73;8.93;14.33;;;;;
Algaida;No;lingua;52;Algaida_lingua52;13;2;3.69;12.78;7.21;11.21;;;;;
Algaida;No;lingua;53;Algaida_lingua53;12.8;2;3.88;11.34;6.32;12.54;;;;;
Algaida;No;lingua;54;Algaida_lingua54;21;2;4.96;11.13;7.14;12.81;;;;;
Algaida;No;lingua;55;Algaida_lingua55;19.5;2;9.8;12.25;7.09;13.03;;;;;
Algaida;No;lingua;56;Algaida_lingua56;16.5;2;4.15;13.58;7.09;12.54;;;;;
Algaida;No;lingua;57;Algaida_lingua57;18.8;2;4.64;11.77;8.9;12.42;;;;;
Algaida;No;lingua;58;Algaida_lingua58;17;2;3.9;10.15;5.03;9.72;;;;;
Algaida;No;lingua;59;Algaida_lingua59;21;3;3.99;10.4;6.68;9.55;;;;;
Algaida;No;lingua;60;Algaida_lingua60;14.8;4;4.48;12.75;7.81;10.75;;;;;
Bellver;No;lingua;1;Bellver_lingua1;13;2;5;12.6;7.3;13.4;0;4;0;1;0
Bellver;No;lingua;2;Bellver_lingua2;13.6;2;4.7;13;7.8;14.3;0;4;0;1;0
