Site;Competition;Species;ID;FruitSet;PolliniaSet;N_flowers;Height;DiamCavity;LongLab;WidthLab;DepthLab;Eucera;Osmia;Andrena;Ceratina;Rich;Abund;H;simp;inv_simp;Abund_Slingua;Abund_Sparviflora;Rich_Coflowering;Abund_Coflowering;H_Coflowering;simp_Coflowering;inv_simp_Coflowering
Algaida;No;lingua;SL1;0;1;2;19.2;5.6;15.7;8.1;12.5;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL2;0;1;2;14.8;6.1;15.6;8.8;15.1;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL3;0;1;3;26.2;4.3;11.7;7.3;13.04;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL4;0;1;3;21.6;5.2;12.8;7.3;12.3;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL5;0;1;3;11;4.6;17.7;6.6;14.8;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL6;0;1;3;16.6;5.2;17.4;7.7;14.3;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL7;;;3;18.9;6;16.4;8.1;12.3;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL8;;;4;26.8;4.5;17.7;8.2;15.5;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL9;;;2;16.4;5;14.9;8.5;11.4;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL10;0;1;2;11.6;5.6;14.7;7.7;12.3;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL11;0;1;2;12.1;5.6;14.7;8.3;10.1;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL12;;;2;12.2;4.8;13.8;6.5;12.6;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL13;;;3;17.2;5.2;20;6.5;13.7;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL14;;;2;13.3;4.6;15;6.8;12.3;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL15;;;2;14.2;5.7;12.7;7.5;12.1;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL16;;;2;13.9;4.6;14.9;7.4;13.2;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL17;0;1;2;10.5;5.2;14.2;7.7;10.6;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL18;;;2;10.5;4.1;11.9;7;11.8;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL19;;;2;12.9;5;16.6;8.9;14.6;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL20;;;2;17;5.1;14.3;7.1;11.6;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL21;;;2;20.1;5.2;16;6.4;14.5;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL22;0;1;4;22;4.5;18.9;9.3;11.1;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL23;0.5;1;2;10.5;4.4;15.6;6;12;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL24;0;1;2;14;4.3;15.2;7.6;12.3;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL25;;;2;15.9;4.8;14.3;7.5;12.3;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL26;0;1;3;15.6;5;15.1;9.2;12.7;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL27;;;3;20.2;5;16.8;8.3;11.5;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL28;;;3;22;5.1;14.7;7.4;13.4;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL29;;;3;28.4;5.4;13.9;6.8;13.7;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL30;0;1;5;32;5.3;10.2;4.8;13.1;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL31;0;1;3;13.4;4.16;12.85;4.16;14.17;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL32;0;1;2;12.4;6.32;13.1;6.18;14.67;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL33;0;1;2;13.9;7.1;12.81;6.4;12.2;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
Algaida;No;lingua;SL34;0;1;2;15.7;4.41;9.49;5.85;10.03;1;4;3;1;1.533333333;2.466666667;0.440948265;0.500805556;1.744030501;124;0;4;158;0.675288228;0.356913956;1.555001869
